10, 25350
11, 29935
1, -5390
2, -7805
3, -5140
1, 1745
1, -365
2, -2475
3, -605
4, -1600
5, -670
6, 1385
1, -530
2, -2450
3, 290
4, -1360
5, 1090
6, 2450
7, 8450
8, 11625
1, 1020
2, -1395
3, 4605
4, 1695
1, -6950
2, -6250
3, -5390
4, -2740
5, -1775
6, -1720
7, -1585
8, 4415
1, -13580
1, 580
2, 640
3, -595
4, -6445
1, 410
2, 900
3, 100
1, -315
1, -375
2, -1240
3, -1920
4, -5825
5, -10225
6, -9000
7, -5535
8, -3495
9, 2495
10, 4710
1, 795
2, 2140
3, 1980
4, -975
5, -1815
6, -615
1, -2010
2, -8305
1, 1265
2, 815
1, 1105
1, -45
2, -1395
3, -1530
4, 335
5, -2265
1, -2160
2, -4340
3, 1190
4, 2170
5, 2460
6, 2025
1, 1405
2, 635
3, 3100
4, 7070
1, -8850
2, -9770
3, -9280
4, -8165
5, -8575
6, -5995
7, -495
8, 4335
9, 10320
10, 16260
11, 19995
12, 25220
1, -8990
1, 1320
2, 1890
3, 1870
4, 4170
5, 1380
6, 3405
7, 9405
8, 10605
9, 14390
10, 15765
11, 21050
12, 22450
13, 25075
14, 28440
15, 29180
16, 30545
17, 32645
18, 38645
19, 40725
20, 42845
21, 40080
22, 42895
23, 48395
24, 52135
25, 53470
26, 57995
27, 56095
28, 53905
29, 59905
30, 58060
31, 57320
32, 58955
33, 60405
34, 59205
35, 60760
36, 64325
37, 66535
38, 65060
39, 64965
40, 66865
41, 64265
42, 64815
43, 65960
44, 66885
45, 65790
46, 71355
47, 71975
48, 77970
49, 67005
50, 52235
51, 56795
52, 58550
53, 54255
54, 53435
55, 49270
56, 49905
57, 46825
58, 52285
59, 51760
60, 56560
61, 52875
62, 58135
63, 59530
64, 50685
65, 54705
66, 57425
67, 63075
68, 62660
69, 50845
70, 56345
71, 50970
72, 46610
73, 27075
74, 23000
75, 12540
76, -890
77, -870
78, -6835
79, -14440
80, -27250
81, -52900
82, -49790
83, -44295
84, -42630
85, -62280
86, -97025
87, -96070
88, -101235
89, -120085
90, -143255
91, -143100
92, -164370
93, -180950
94, -198925
95, -213225
96, -257070
97, -252165
98, -277415
99, -288630
100, -294420
101, -319555
102, -327035
103, -332190
104, -351215
1, -6830
2, -9560
3, -7535
1, -1775
1, 660
2, 980
3, 400
4, 1055
5, 1525
6, 590
7, 6090
8, 6165
1, -3100
2, -5110
1, 1380
2, 1685
3, 625
4, -3240
5, -1425
6, -1325
7, 4500
8, 5705
9, 11625
10, 15245
11, 20745
12, 23290
13, 29285
14, 34055
15, 35180
16, 32405
17, 34205
18, 30090
19, 21200
20, 21975
21, 19580
22, 21220
23, 17960
24, -5940
25, -4890
26, -7880
27, -33040
28, -30660
29, -31050
30, -36995
31, -70755
32, -109795
33, -112775
34, -151980
35, -172430
36, -175490
37, -182715
38, -185305
39, -208805
40, -216545
41, -229640
42, -228230
43, -237665
44, -236360
45, -251855
46, -249460
47, -248675
48, -255840
49, -275435
50, -278175
51, -281990
52, -294060
